public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Middlesex-London Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Niagara Region Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
Niagara Region Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,555782,0.0
North Bay Parry Sound District Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,148937,0.3
North Bay Parry Sound District Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,148937,0.7
North Bay Parry Sound District Health Unit,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,148937,0.3
North Bay Parry Sound District Health Unit,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
North Bay Parry Sound District Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,148937,0.0
Northeastern Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,127001,0.0
Northeastern Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,127001,0.0
Northeastern Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,127001,0.0
